source,target,edge_type
00af4504cd311dd35e3df261b34fa49d5f182daa,4452ce15d1374a67cfaf7772b990d20ad4e92de7,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,8121ce5d553a2a8b869629ce88610ad54428be04,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,a3a0fa13b7392689ad1732c0ba8773d68842df9e,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,5c62c16612ad95d215efe60a45979f5c18eb27a2,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,9227690267ab90da9a0af109e170537ce843cd5d,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,31a8e371df3c0f236b5796142e7fefd69de67164,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,34d1ce42ae56186723d1de1199f25c9724e36b6c,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,6ce87e1d3988aaacec1b60f727250023ed7626fa,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,2b91fe2abd6b8e202bbb22e15bd8c0a7d31fb514,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,e6ec312cb929466cf5b80abdf26370335fdbce6d,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,02ad20e81f05103718740c07bd6aa772065fa798,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,a8eba2d196df35f755edbc113fa2dec8eafb0d84,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,ff6a3ae098ff288a2926d87899bab258ed1a2abb,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,499281f8e016cd81f8af84fdbe753444b48bb69e,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,300c03a2dfeee1cfb7516295e74e4241440998a8,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,0bd0fe8691ed2bbaa5c19b24b301d32c41f2b7d1,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,22491097396dd3ea9cd414656e8d8e565c23c8b0,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,322384d2e32e306bcbbbbf372ca524ddb7fc78f6,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,1418ae808fb9bca31d2e3d9f2035f3a34a225ad8,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,0506a27b573c83cfea9223835c2190b455ce66b6,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,43c6ff2df7cd085ff80918f6bcbf931da2336aa5,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,05c6b97f4b889b372f59eaa69a76ccc552cd8eec,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,8d923c585c09919ff880943fc6dcf4a8c45e7472,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,22af7de92e96686f46642b409131ce4d07403c56,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,989ede2d7923c453cb77ecae30fb56d6b53ba16b,citation
