author_1,author_2,weight
4621606,1403065074,3
4621606,1519065470,3
4621606,6267984,3
4621606,1740478,3
4621606,145103235,3
4621606,2325091,3
4621606,16409122,3
4621606,6680713,2
4621606,6168668,3
4621606,3487588,3
4621606,50278866,3
4621606,6270719,3
4621606,32692498,3
4621606,145966661,3
4621606,145441033,3
4621606,5145782,3
4621606,2941320,3
4621606,5658685,3
4621606,2816711,3
4621606,4638038,3
4621606,145811086,3
4621606,3411427,3
4621606,145363223,3
4621606,143734722,3
4621606,1699129,3
4621606,4172366,3
4621606,144780631,3
4621606,2977883,3
4621606,6016393,1
4621606,87456976,1
4621606,2115738226,1
4621606,144822194,1
4621606,84231367,1
4621606,51410607,1
4621606,3340173,1
4621606,2125515064,2
4621606,2075447262,1
4621606,1931199,1
4621606,5125984,1
4621606,2148236464,2
4621606,144810332,1
4621606,2088421666,1
4621606,3849962,1
4621606,2986562,1
4621606,14402273,1
4621606,1485070503,1
4621606,152667721,1
4621606,6148614,1
4621606,145917686,1
4621606,1883217,1
4621606,2334548161,1
4621606,4220663,1
4621606,3106341,1
4621606,2136876953,1
4621606,122449900,1
4621606,2060926734,1
4621606,2907997,1
4621606,2118291991,1
8867266,2681260,9
8867266,2625032,4
8867266,34496255,1
8867266,3330620,10
8867266,40067731,1
8867266,4340071,1
8867266,2755746,1
8867266,46531894,1
8867266,2434415,1
8867266,32673318,1
8867266,143755814,1
8867266,144986260,1
8867266,8340752,3
8867266,3182604,1
8867266,5904913,1
8867266,145465762,1
8867266,5130661,1
8867266,4072958,2
8867266,143933800,1
8867266,2119508,1
8867266,144869685,1
8867266,2593959,1
8867266,144888963,1
8867266,12982954,1
8867266,1644777718,1
8867266,4638038,1
8867266,145750797,1
8867266,2111798344,1
8867266,1720742368,1
8867266,2264281,1
2681260,2625032,4
2681260,34496255,1
2681260,3330620,10
2681260,40067731,1
2681260,4340071,1
2681260,8340752,3
2681260,3182604,1
2681260,5904913,1
2681260,144580540,2
2681260,3593202,2
2681260,145465762,1
2681260,5130661,1
2681260,4072958,2
2681260,143933800,1
2681260,33588280,1
2681260,33676255,1
2681260,2303232111,1
2681260,27403514,1
2681260,4769041,1
2681260,39186917,1
2681260,3326829,1
2681260,50642464,1
2681260,143977428,1
2681260,30391315,1
2681260,2266824329,1
2681260,2097158928,1
2681260,1692399,1
2681260,2052300,1
2681260,2111827789,1
2681260,37925596,1
2681260,71341552,1
2681260,2463789,1
2681260,2119508,1
2681260,144869685,1
2681260,2593959,1
2681260,144888963,1
2681260,34545557,1
2681260,4356605,1
2681260,2434415,1
