author_norm,person_id,person_display_name,name_variants,component_size,is_reconciled_merge
arkhipov|a,person:anton arkhipov,Anton Arkhipov,A. Arkhipov; Anton Arkhipov,1,False
arle|j,person:j arle,J. Arle,J. Arle,1,False
armañanzas|r,person:ruben armananzas,Rubén Armañanzas,Rubén Armañanzas,1,False
armstrong|d,person:douglas armstrong,Douglas Armstrong,Douglas Armstrong,1,False
armstrong|j,person:j armstrong,J. D. Armstrong,J. Armstrong; J. D. Armstrong,2,True
armstrong|jd,person:j armstrong,J. D. Armstrong,J. Armstrong; J. D. Armstrong,2,True
arnatkevic̆iūtė|a,person:a arnatkeviciute,A. Arnatkevic̆iūtė,A. Arnatkevic̆iūtė,1,False
arnaudon|a,person:alexis arnaudon,Alexis Arnaudon,Alexis Arnaudon,1,False
arnold|d,person:d arnold,D. Arnold,D. Arnold,1,False
arnold|db,person:don arnold,Don B. Arnold,Don B. Arnold,1,False
arnsten|aft,person:amy arnsten,Amy F. T. Arnsten,Amy F. T. Arnsten,1,False
arreguit|j,person:jonathan arreguit,Jonathan Arreguit,Jonathan Arreguit,1,False
arrenberg|ab,person:aristides arrenberg,Aristides B. Arrenberg,Aristides B. Arrenberg,1,False
arrifano|g,person:g arrifano,G. Arrifano,G. Arrifano,1,False
arroyo-morales|p,person:pura arroyo morales,Pura Arroyo-Morales,Pura Arroyo-Morales,1,False
arroyo|j,person:jesus arroyo,Jesús Arroyo,Jesús Arroyo,1,False
arroyo‐relión|j,person:jesus arroyo relion,Jesús Arroyo‐Relión,Jesús Arroyo‐Relión,1,False
arruda|r,person:rebecca arruda,Rebecca Arruda,Rebecca Arruda,1,False
arshadi|c,person:cameron arshadi,Cameron Arshadi,Cameron Arshadi,1,False
arthur|bj,person:b arthur,B. J. Arthur,B. J. Arthur,1,False
asadulina|a,person:albina asadulina,Albina Asadulina,Albina Asadulina,1,False
asahina|s,person:s asahina,S. Asahina,S. Asahina,1,False
asano|sm,person:shoh asano,Shoh M. Asano,Shoh M. Asano,1,False
ascoli|g,person:g ascoli,G. Ascoli,G. Ascoli,1,False
ashaber|m,person:m ashaber,M. Ashaber,M. Ashaber,1,False
ashida|k,person:keita ashida,Keita Ashida,Keita Ashida,1,False
ashley|j,person:james ashley,James Ashley,J. Ashley; James Ashley,1,False
ashley|k,person:kelly ashley,Kelly Ashley,Kelly Ashley,1,False
ashwood|z,person:zoe ashwood,Zoe Ashwood,Zoe Ashwood,1,False
asinof|s,person:s asinof,S. Asinof,S. Asinof,1,False
asinof|sk,person:samuel asinof,Samuel K Asinof,Samuel K Asinof,1,False
asis|jd,person:john david asis,John David Asis,John David Asis,1,False
asl|mm,person:mojtaba madadi asl,Mojtaba Madadi Asl,Mojtaba Madadi Asl,1,False
asnaz|g,person:gulum asnaz,Gülüm Asnaz,Gülüm Asnaz,1,False
aso|y,person:yoshinori aso,Yoshinori Aso,Yoshinori Aso,1,False
asraf|s,person:shadnan asraf,Shadnan Asraf,Shadnan Asraf,1,False
assaf|y,person:yaniv assaf,Yaniv Assaf,Yaniv Assaf,1,False
atanas|aa,person:adam atanas,Adam A. Atanas,Adam A. Atanas,1,False
atasoy|d,person:d atasoy,D. Atasoy,D. Atasoy,1,False
atheby|a,person:angeline claudia atheby,Angeline-Claudia Atheby,Angeline-Claudia Atheby,1,False
athey|t,person:thomas athey,Thomas Athey,Thomas Athey,1,False
athreya|a,person:a athreya,A. Athreya,A. Athreya,1,False
atkinson|le,person:louise atkinson,Louise E. Atkinson,Louise E. Atkinson,1,False
attardo|a,person:a attardo,A. Attardo,A. Attardo,1,False
augustinack|j,person:jean augustinack,Jean Augustinack,Jean Augustinack,1,False
augusto-oliveira|m,person:marcus augusto oliveira,Marcus Augusto-Oliveira,Marcus Augusto-Oliveira,1,False
augusto|p,person:p augusto,P. Augusto,P. Augusto,1,False
auken|kvv,person:k van auken,K. V. Van Auken,K. V. Van Auken,1,False
ausborn|j,person:jessica ausborn,Jessica Ausborn,Jessica Ausborn,1,False
autio|j,person:j autio,J. Autio,J. Autio,1,False
avetisov|v,person:v avetisov,V. Avetisov,V. Avetisov,1,False
avila|b,person:bryant avila,Bryant Avila,Bryant Avila,1,False
awile|o,person:omar awile,Omar Awile,O. Awile; Omar Awile,1,False
axel|r,person:richard axel,Richard Axel,R. Axel; Richard Axel,1,False
axer|m,person:m axer,M. Axer,M. Axer,1,False
ayambem|d,person:deven ayambem,Deven Ayambem,Deven Ayambem,1,False
ayan|sş,person:sevgi sengul ayan,Sevgi Şengül Ayan,Sevgi Şengül Ayan,1,False
azad|ak,person:a azad,A. K. Azad,A. K. Azad,1,False
azam|s,person:sana azam,Sana Azam,Sana Azam,1,False
azatian|y,person:yervand azatian,Yervand Azatian,Yervand Azatian,1,False
azcorra|m,person:maite azcorra,Maite Azcorra,Maite Azcorra,1,False
azevedo|aw,person:anthony azevedo,Anthony W. Azevedo,Anthony W. Azevedo,1,False
b'enichou|a,person:alexis enichou,Alexis B'enichou,Alexis B'enichou,1,False
babadi|m,person:m babadi,M. Babadi,M. Babadi,1,False
babu|k,person:kavita babu,Kavita Babu,Kavita Babu,1,False
